date,city,temperature,humidity,wind_speed,weather_condition
2024-01-01,镇江,16.464756306451065,47.931291296988846,0.2742268033188874,雷阵雨
2024-01-02,镇江,19.722658244651818,78.27872043749092,2.9727549812846896,多云
2024-01-03,镇江,28.926887650507897,67.59824081140798,1.4675604435432306,多云
2024-01-04,镇江,28.295156810005054,65.41973402200058,0.9225188944016394,晴
2024-01-05,镇江,27.884048172159865,55.85014840005758,0.03388245394937063,中雨
2024-01-06,镇江,12.198875985528545,49.506282534978794,3.008214982840537,晴
2024-01-07,镇江,21.707836701583503,81.15592655966971,2.5830710391180043,中雨
2024-01-08,镇江,24.91265578346846,45.06907192588075,0.7472559748090346,晴
2024-01-09,镇江,18.98923947057133,77.16147588630491,0.6079238460964117,晴
2024-01-10,镇江,20.603427265597304,54.09447321450671,5.83375743846016,雾
2024-01-11,镇江,22.51571608266004,53.61194681535305,4.490011487586308,大雨
2024-01-12,镇江,22.425824549708167,63.953638057465085,2.935784045564133,雾
2024-01-13,镇江,14.597989419527552,54.262308843319275,0.06674549505793359,雷阵雨
2024-01-14,镇江,17.48997828204094,55.79074742891556,5.791769087661031,小雨
2024-01-15,镇江,20.764405147587063,75.77378764574536,1.3198658255342661,多云
2024-01-16,镇江,22.24743502661526,87.56551676938594,3.270025739623075,多云
2024-01-17,镇江,26.934655222559577,76.73952095817637,0.48256680442001537,大雨
2024-01-18,镇江,31.168504971618308,63.69266474474399,4.611217172800973,晴
2024-01-19,镇江,28.585488324289166,63.56235785449155,2.0089915087290198,小雨
2024-01-20,镇江,20.914077012664876,71.4735676137946,0.05543784683144796,多云
2024-01-21,镇江,30.90262255267205,41.074988221352335,1.4479041341839336,多云
2024-01-22,镇江,26.89126185937094,81.18089707373156,7.378571054028022,晴
2024-01-23,镇江,35.065001678417524,64.23252011866386,6.298781648451286,多云
2024-01-24,镇江,20.450058541779214,72.8261193283007,0.8568563971187093,大雨
2024-01-25,镇江,24.74292866232308,84.97066187332777,0.5688569163741894,晴
2024-01-26,镇江,29.45786962510244,47.724825324834704,3.2894222153628347,雾
2024-01-27,镇江,22.63721488350105,86.83619405611364,1.1997403918834624,雷阵雨
2024-01-28,镇江,28.73896639328042,60.42668131923162,2.781783622486636,小雨
2024-01-29,镇江,16.253233626300975,64.51188138727315,12.051535429449494,中雨
2024-01-30,镇江,28.829341507112872,72.86294151044416,0.040751232358832615,多云
2024-01-31,镇江,26.191436252691123,53.23973639519807,1.574211137934144,晴
2024-02-01,镇江,15.803927374449442,61.470992612915964,1.9213348173143456,小雨
